episode,pacman_reward,ghost_reward,steps,result,epsilon_pacman,epsilon_ghost,loss_pacman,loss_ghost
156,47.29,8.29,357,caught,0.9245,0.9245,0.76492,0.514485
157,59.5,-11.5,600,cleared,0.924,0.924,0.654718,2.30909
158,-6.58,10.42,286,caught,0.9236,0.9236,0.574998,0.450805
159,3.84,13.84,172,caught,0.9231,0.9231,0.727564,1.126959
160,12.5,-13.5,600,cleared,0.9226,0.9226,0.834138,0.99435
161,21.3,10.3,290,caught,0.9222,0.9222,1.224312,0.886255
162,29.26,11.26,258,caught,0.9217,0.9217,0.631478,0.821095
163,-17.1,13.9,170,caught,0.9213,0.9213,0.938188,1.658334
164,23.35,5.35,455,caught,0.9208,0.9208,0.764171,0.320704
165,14.41,17.41,53,caught,0.9203,0.9203,1.043177,1.12525
166,26.33,1.33,589,cleared,0.9199,0.9199,0.757836,1.865612
167,36.87,4.87,471,cleared,0.9194,0.9194,0.88519,1.565808
168,61.0,-13.0,600,cleared,0.919,0.919,0.731402,2.110343
169,45.5,-11.5,600,cleared,0.9185,0.9185,0.648477,0.615092
170,40.84,1.84,572,cleared,0.918,0.918,0.642017,0.452017
171,0.71,17.71,43,caught,0.9176,0.9176,1.515346,0.393622
172,-14.64,16.36,88,caught,0.9171,0.9171,0.892307,0.29028
173,25.5,-12.5,600,cleared,0.9167,0.9167,0.78361,0.898438
174,5.08,8.08,364,caught,0.9162,0.9162,0.708812,0.514966
175,44.97,12.97,201,caught,0.9157,0.9157,0.682423,1.64141
176,19.91,15.91,103,caught,0.9153,0.9153,1.169881,3.450819
177,43.35,11.35,255,caught,0.9148,0.9148,0.910794,1.989823
178,76.5,-14.5,600,cleared,0.9144,0.9144,0.932448,2.11396
179,2.88,12.88,204,caught,0.9139,0.9139,0.973497,1.199682
180,-5.53,11.47,251,caught,0.9135,0.9135,2.477605,0.231111
181,33.69,1.69,577,cleared,0.913,0.913,0.870061,1.899163
182,-8.87,15.13,129,caught,0.9125,0.9125,0.668063,1.358085
183,17.57,13.57,181,caught,0.9121,0.9121,1.19047,2.011843
184,-0.4,16.6,80,caught,0.9116,0.9116,1.523876,1.069874
185,47.0,-13.0,600,cleared,0.9112,0.9112,0.830677,0.858963
186,-9.88,7.12,396,caught,0.9107,0.9107,0.571319,0.333637
187,40.0,-13.0,600,cleared,0.9103,0.9103,0.756559,1.598801
188,0.17,17.17,61,caught,0.9098,0.9098,1.156552,0.32272
189,20.97,9.97,301,caught,0.9094,0.9094,0.875124,1.387409
190,29.51,4.51,483,cleared,0.9089,0.9089,0.704583,0.870715
191,-18.24,12.76,208,caught,0.9084,0.9084,0.579672,1.324085
192,-8.71,8.29,357,caught,0.908,0.908,0.802914,0.388353
193,15.24,4.24,492,cleared,0.9075,0.9075,1.239301,1.867654
194,6.69,16.69,77,caught,0.9071,0.9071,1.253007,0.324926
195,46.47,14.47,151,caught,0.9066,0.9066,1.042486,1.326743
196,-10.31,13.69,177,caught,0.9062,0.9062,0.621299,0.598547
197,32.5,-12.5,600,cleared,0.9057,0.9057,0.728722,1.79815
198,-8.69,15.31,123,caught,0.9053,0.9053,0.939783,1.401621
199,32.77,14.77,141,caught,0.9048,0.9048,0.827678,0.288919
